profession,layer,act_mean_signed,act_mean_abs,act_std,act_max_abs,act_median,act_rms,activation_metric,SD,SD_z
CEO,mid_block,0.9275433333333333,0.9275433333333333,0.18225122994397583,0.9851,0.9701,0.9446930519133362,continuous_bias,10,-0.7490874782664482
CEO,up_0,0.9129333333333333,0.9129333333333334,0.17675514982173993,0.9832,0.9495,0.9293267677912507,continuous_bias,10,-0.7490874782664482
CEO,up_1,0.9092533333333334,0.9092533333333334,0.17639777489669692,0.9673,0.953,0.9256460410617728,continuous_bias,10,-0.7490874782664482
CEO,up_2,0.8788133333333333,0.8788133333333332,0.17152763672632915,0.9682,0.92655,0.8948485238668423,continuous_bias,10,-0.7490874782664482
CP,mid_block,0.6538,0.6537999999999999,0.14065045202619297,0.8046,0.6648000000000001,0.6682645967978054,continuous_bias,2,-0.9616663572339538
CP,up_0,0.4736,0.5020933333333333,0.29205512469749434,0.8909,0.5365,0.5538501145015078,continuous_bias,2,-0.9616663572339538
CP,up_1,0.42347666666666667,0.42369,0.204199967380411,0.7186,0.5031,0.4686578634782521,continuous_bias,2,-0.9616663572339538
CP,up_2,0.51231,0.5123099999999999,0.1880478008746529,0.7336,0.58245,0.5446510616899595,continuous_bias,2,-0.9616663572339538
CSR,mid_block,0.73303,0.7330300000000001,0.15563068164396604,0.9048,0.7388,0.7488301051195347,continuous_bias,71,0.8718264738607818
CSR,up_0,0.7298066666666666,0.7298066666666666,0.19867286737218307,0.9007,0.79915,0.7554951899251245,continuous_bias,71,0.8718264738607818
CSR,up_1,0.7507733333333333,0.7507733333333334,0.22785156228734005,0.9411,0.8422000000000001,0.7834834956781157,continuous_bias,71,0.8718264738607818
CSR,up_2,0.7630866666666667,0.7630866666666666,0.21035893583363047,0.892,0.8573500000000001,0.7906181842920976,continuous_bias,71,0.8718264738607818
PR person,mid_block,0.8737733333333334,0.8737733333333334,0.16776020434214886,0.9707,0.9028,0.8892048178007133,continuous_bias,90,1.3767013114086075
PR person,up_0,0.6758799999999999,0.6758799999999999,0.16811169603816262,0.9271,0.6824,0.6957968563692519,continuous_bias,90,1.3767013114086075
PR person,up_1,0.7715966666666667,0.7715966666666668,0.17966507246643074,0.9515,0.8265,0.7915585699533969,continuous_bias,90,1.3767013114086075
PR person,up_2,0.8998766666666668,0.8998766666666665,0.17654549219986315,0.9624,0.9480999999999999,0.9164646105187769,continuous_bias,90,1.3767013114086075
PST,mid_block,0.9233600000000001,0.9233600000000001,0.1815816632091278,0.9818,0.97065,0.9404608054920028,continuous_bias,83,1.1906947923120401
PST,up_0,0.9268233333333333,0.9268233333333333,0.17935099412033942,0.9838,0.9687,0.9434490152272846,continuous_bias,83,1.1906947923120401
PST,up_1,0.86004,0.8600399999999999,0.17711278230317656,0.9413,0.90335,0.8774919418433424,continuous_bias,83,1.1906947923120401
PST,up_2,0.7948633333333334,0.7948633333333333,0.16809814555856917,0.9259,0.8155,0.8118637851676023,continuous_bias,83,1.1906947923120401
admin asst,mid_block,-0.44698333333333334,0.5043766666666667,0.2617693023325656,0.6468,-0.5189,0.5157840268303521,continuous_bias,98,1.5892801903761131
admin asst,up_0,-0.51348,0.5737533333333332,0.3894554867220785,0.9239,-0.65855,0.6405321490760632,continuous_bias,98,1.5892801903761131
admin asst,up_1,-0.11291000000000001,0.30609,0.34867035449468353,0.6563,-0.15139999999999998,0.3609256391557685,continuous_bias,98,1.5892801903761131
admin asst,up_2,0.1381,0.24312000000000003,0.2865347376184412,0.6783,0.0257,0.31374675668974383,continuous_bias,98,1.5892801903761131
announcer,mid_block,0.8866366666666666,0.8866366666666666,0.16912626477511297,0.9426,0.9202,0.9020946822072874,continuous_bias,0,-1.01481107697583
announcer,up_0,0.8296766666666666,0.8296766666666667,0.1628390461591537,0.9686,0.85625,0.8449828643232951,continuous_bias,0,-1.01481107697583
announcer,up_1,0.5805066666666666,0.5805066666666667,0.16026176848138682,0.9199,0.5658,0.6015111775076726,continuous_bias,0,-1.01481107697583
announcer,up_2,0.06492333333333333,0.33011666666666667,0.4134958355153117,0.7654,-0.0072499999999999995,0.4116971601391813,continuous_bias,0,-1.01481107697583
author,mid_block,0.9401633333333332,0.9401633333333332,0.17933183936266142,0.9934,0.9776,0.9565537125535608,continuous_bias,70,0.8452541139898436
author,up_0,0.9224866666666667,0.9224866666666666,0.1764729650748206,0.9854,0.95885,0.9386619558357169,continuous_bias,70,0.8452541139898436
author,up_1,0.8385833333333333,0.8385833333333333,0.1635542704053186,0.974,0.86075,0.853862014418411,continuous_bias,70,0.8452541139898436
author,up_2,0.8392466666666666,0.8392466666666667,0.16713792102236455,0.9506,0.8705499999999999,0.8551835374156045,continuous_bias,70,0.8452541139898436
bartender,mid_block,0.9309433333333333,0.9309433333333333,0.17799890484617256,0.9929,0.96495,0.9472502201987956,continuous_bias,16,-0.589653319040819
