layer,feature,pearson_vs_SD,pearson_vs_SD_p,spearman_vs_SD,spearman_vs_SD_p,pearson_vs_SD_z,pearson_vs_SD_z_p,spearman_vs_SD_z,spearman_vs_SD_z_p,n_professions,activation_metric
mid_block,act_mean_signed,-0.7049887377017794,2.6650717996661034e-07,-0.42356832314646947,0.005788652313165563,-0.7049887377017794,2.6650717996661034e-07,-0.42356832314646947,0.005788652313165563,41,continuous_bias
mid_block,act_mean_abs,-0.45867370098139143,0.0025602933457421805,-0.21652363307135106,0.17391032545220306,-0.45867370098139143,0.0025602933457421805,-0.21652363307135106,0.17391032545220306,41,continuous_bias
mid_block,act_std,0.3181277548308612,0.0426607849846433,0.2513675253815766,0.11289008157673826,0.3181277548308612,0.0426607849846433,0.2513675253815766,0.11289008157673826,41,continuous_bias
mid_block,act_max_abs,-0.48209095940763913,0.0014142755275848655,-0.19073645920167404,0.23226512471728647,-0.48209095940763913,0.0014142755275848655,-0.19073645920167404,0.23226512471728647,41,continuous_bias
mid_block,act_median,-0.7098402979641562,2.02593899653588e-07,-0.42365609113717534,0.005777458069204143,-0.7098402979641562,2.02593899653588e-07,-0.42365609113717534,0.005777458069204143,41,continuous_bias
mid_block,act_rms,-0.45076163367836064,0.0031001896384006424,-0.20265629053982553,0.20382197106397826,-0.45076163367836064,0.0031001896384006424,-0.20265629053982553,0.20382197106397826,41,continuous_bias
up_0,act_mean_signed,-0.692145474896144,5.36820672355265e-07,-0.4029428453305929,0.008999424203195435,-0.692145474896144,5.36820672355265e-07,-0.4029428453305929,0.008999424203195435,41,continuous_bias
up_0,act_mean_abs,-0.28913787682701764,0.06672630119650311,-0.1506098720512519,0.3472552464475629,-0.28913787682701764,0.06672630119650311,-0.1506098720512519,0.3472552464475629,41,continuous_bias
up_0,act_std,0.17009447306840178,0.28767949103472606,0.10461944492138243,0.5150692296603858,0.17009447306840178,0.28767949103472606,0.10461944492138243,0.5150692296603858,41,continuous_bias
up_0,act_max_abs,-0.42905632529256665,0.00512378071966485,-0.195292285267325,0.22109074868710957,-0.4290563252925666,0.0051237807196648786,-0.195292285267325,0.22109074868710957,41,continuous_bias
up_0,act_median,-0.6998068233714189,3.550697862162969e-07,-0.44059531334340585,0.0039385559956893025,-0.6998068233714189,3.550697862162969e-07,-0.44059531334340585,0.0039385559956893025,41,continuous_bias
up_0,act_rms,-0.28651739240630625,0.06934613665362918,-0.14832790429289958,0.3546933957571733,-0.28651739240630625,0.06934613665362918,-0.14832790429289958,0.3546933957571733,41,continuous_bias
up_1,act_mean_signed,-0.6501518796447144,4.212178525560242e-06,-0.4072434768751799,0.008226461671853705,-0.6501518796447144,4.212178525560242e-06,-0.4072434768751799,0.008226461671853705,41,continuous_bias
up_1,act_mean_abs,-0.17716089377031044,0.26782063662525496,-0.09171755028762134,0.5684597439129289,-0.17716089377031044,0.26782063662525496,-0.09171755028762134,0.5684597439129289,41,continuous_bias
up_1,act_std,0.2618438351070429,0.09817542336875168,0.33044648500755436,0.03484669362309621,0.2618438351070429,0.09817542336875168,0.33044648500755436,0.03484669362309621,41,continuous_bias
up_1,act_max_abs,-0.27415356570444877,0.08281896237595113,-0.08601637733122627,0.5928341759945095,-0.27415356570444877,0.08281896237595113,-0.08601637733122627,0.5928341759945095,41,continuous_bias
up_1,act_median,-0.6463719415945509,4.993121716645881e-06,-0.4260258268862335,0.005482218370203818,-0.6463719415945509,4.993121716645881e-06,-0.4260258268862335,0.005482218370203818,41,continuous_bias
up_1,act_rms,-0.18197332438397926,0.25482727163134067,-0.0839061991148,0.6019710844013053,-0.18197332438397926,0.25482727163134067,-0.0839061991148,0.6019710844013053,41,continuous_bias
up_2,act_mean_signed,-0.5330867624013468,0.00033257633129714473,-0.261636380294162,0.09845175282871457,-0.5330867624013468,0.00033257633129714473,-0.261636380294162,0.09845175282871457,41,continuous_bias
up_2,act_mean_abs,-0.1451110456859438,0.36534159034076197,-0.002457503739764017,0.987833469638747,-0.14511104568594382,0.36534159034076197,-0.002457503739764017,0.987833469638747,41,continuous_bias
up_2,act_std,-0.1516855055627614,0.34378251047340447,-0.010268854912585355,0.9491924323646725,-0.15168550556276136,0.34378251047340447,-0.010268854912585355,0.9491924323646725,41,continuous_bias
up_2,act_max_abs,-0.2579441420520095,0.10347026197392227,-0.0896988865013866,0.5770374274813486,-0.2579441420520095,0.10347026197392227,-0.0896988865013866,0.5770374274813486,41,continuous_bias
up_2,act_median,-0.5097591838018922,0.0006631751452406912,-0.27655693871415776,0.08005195872297238,-0.5097591838018922,0.0006631751452406912,-0.27655693871415776,0.08005195872297238,41,continuous_bias
up_2,act_rms,-0.15726103836856023,0.32612499240366,-0.01588600631776025,0.9214713810794297,-0.15726103836856026,0.32612499240366,-0.01588600631776025,0.9214713810794297,41,continuous_bias
