layer,step,activation_metric,pearson_vs_SD,spearman_vs_SD,pearson_vs_SD_z,spearman_vs_SD_z,n_professions,pearson_vs_SD_p,spearman_vs_SD_p
mid_block,0,continuous_bias,,,,,41,,
mid_block,1,continuous_bias,-0.6210677474048977,-0.43374941006834894,-0.6210677474048977,-0.43374941006834894,41,1.472376650264554e-05,0.004608842483410684
mid_block,2,continuous_bias,-0.5492375476014877,-0.35783009810778205,-0.5492375476014876,-0.35783009810778205,41,0.00020011278657803302,0.021617851633793213
mid_block,3,continuous_bias,-0.6516818213135926,-0.5649625561736064,-0.6516818213135923,-0.5649625561736064,41,3.9293446369696625e-06,0.00011895675280922773
mid_block,4,continuous_bias,-0.6489212763470507,-0.4045226691632983,-0.6489212763470507,-0.4045226691632983,41,4.45313346273755e-06,0.008708534305159856
mid_block,5,continuous_bias,-0.6915276495758028,-0.4638538308804581,-0.6915276495758026,-0.4638538308804581,41,5.547123370560469e-07,0.0022532771863710594
mid_block,6,continuous_bias,-0.688760625629818,-0.45165408017234393,-0.6887606256298181,-0.45165408017234393,41,6.418182040750378e-07,0.003034677752442118
mid_block,7,continuous_bias,-0.6937900182593073,-0.45042532830246196,-0.6937900182593075,-0.45042532830246196,41,4.917651666252395e-07,0.003125196235177276
mid_block,8,continuous_bias,-0.6981009023023843,-0.42154965936023475,-0.6981009023023841,-0.42154965936023475,41,3.897308685841263e-07,0.006051355882954902
mid_block,9,continuous_bias,-0.7027302178332762,-0.4291854745516443,-0.702730217833276,-0.4291854745516443,41,3.022322644759413e-07,0.005108968390366716
mid_block,10,continuous_bias,-0.7066502011704069,-0.43006315445870286,-0.7066502011704067,-0.43006315445870286,41,2.4277032410493627e-07,0.005009287143192257
mid_block,11,continuous_bias,-0.7104332769977156,-0.44805559255340377,-0.7104332769977156,-0.44805559255340377,41,1.9584259682451e-07,0.0033064643751271354
mid_block,12,continuous_bias,-0.712568985828919,-0.45018163197128525,-0.7125689858289187,-0.45018163197128525,41,1.7321749002566723e-07,0.003143426913670683
mid_block,13,continuous_bias,-0.7140882043253137,-0.4415607612411703,-0.7140882043253134,-0.4415607612411703,41,1.58626555779709e-07,0.0038512309479563737
mid_block,14,continuous_bias,-0.7143384143534007,-0.4276242758752392,-0.7143384143534006,-0.4276242758752392,41,1.5633582830586306e-07,0.005290539884334657
mid_block,15,continuous_bias,-0.7139160354181203,-0.40892887957773805,-0.7139160354181201,-0.40892887957773805,41,1.6022084463224795e-07,0.007939496723234
mid_block,16,continuous_bias,-0.7142669809107189,-0.405926957014592,-0.7142669809107183,-0.405926957014592,41,1.569866665300365e-07,0.008456778661810231
mid_block,17,continuous_bias,-0.7147022388151628,-0.403811818019927,-0.7147022388151626,-0.403811818019927,41,1.5305965473843815e-07,0.008838407401139644
mid_block,18,continuous_bias,-0.7134492064245347,-0.40019558412421047,-0.7134492064245348,-0.40019558412421047,41,1.6461881148973256e-07,0.009525138780190495
mid_block,19,continuous_bias,-0.7113588495107197,-0.4020651654235343,-0.7113588495107199,-0.4020651654235343,41,1.857203787560296e-07,0.009164602104389057
mid_block,20,continuous_bias,-0.7096120341147982,-0.4010997175257699,-0.7096120341147985,-0.4010997175257699,41,2.0524982321762834e-07,0.009349293597907043
mid_block,21,continuous_bias,-0.7092835598522264,-0.4010997175257699,-0.7092835598522264,-0.4010997175257699,41,2.0912842665523936e-07,0.009349293597907043
mid_block,22,continuous_bias,-0.709056447196142,-0.41066642851270835,-0.7090564471961424,-0.41066642851270835,41,2.1184978023495373e-07,0.00765271053373475
mid_block,23,continuous_bias,-0.7074658295443941,-0.4249726109977632,-0.707465829544394,-0.4249726109977632,41,2.3184927166217783e-07,0.00561178046926725
mid_block,24,continuous_bias,-0.7052331271215339,-0.42585029090482174,-0.7052331271215336,-0.42585029090482174,41,2.6288572523679944e-07,0.005503630222846322
mid_block,25,continuous_bias,-0.7033713621743711,-0.4204014134129857,-0.7033713621743714,-0.4204014134129857,41,2.916642489752125e-07,0.006205339911637201
mid_block,26,continuous_bias,-0.7013820116001851,-0.4046280607111767,-0.7013820116001851,-0.4046280607111767,41,3.2562218715118545e-07,0.008689419330811283
mid_block,27,continuous_bias,-0.7002085070510146,-0.418916619639059,-0.7002085070510149,-0.418916619639059,41,3.4733480923855794e-07,0.00640947200064468
mid_block,28,continuous_bias,-0.697710666168115,-0.419530995574,-0.6977106661681148,-0.419530995574,41,3.9808802589007045e-07,0.006324313260220066
mid_block,29,continuous_bias,-0.6934700064014037,-0.42813225866317406,-0.6934700064014035,-0.42813225866317406,41,5.002483141911873e-07,0.005230855281410195
up_0,0,continuous_bias,,,,,41,,
up_0,1,continuous_bias,-0.4606143022155138,-0.30271179994450337,-0.46061430221551386,-0.30271179994450337,41,0.0024412240192450804,0.05438413530940075
up_0,2,continuous_bias,-0.6179528223961507,-0.39074309462247864,-0.6179528223961505,-0.39074309462247864,41,1.6711225897486243e-05,0.011539737997273451
up_0,3,continuous_bias,-0.6344884398449563,-0.509120404805896,-0.6344884398449563,-0.509120404805896,41,8.397768050622314e-06,0.0006753634572304756
up_0,4,continuous_bias,-0.5914175357593376,-0.4183825737619785,-0.5914175357593376,-0.4183825737619785,41,4.661821795581374e-05,0.006484299538069758
up_0,5,continuous_bias,-0.6306774620677578,-0.3421345294256327,-0.6306774620677577,-0.3421345294256327,41,9.875946084870737e-06,0.02855818869836822
up_0,6,continuous_bias,-0.6379150452957326,-0.3338694366450829,-0.6379150452957325,-0.3338694366450829,41,7.24496004412914e-06,0.03289745823579895
up_0,7,continuous_bias,-0.6453338329190383,-0.3660802892341326,-0.645333832919038,-0.3660802892341326,41,5.229764695255144e-06,0.01857601473218609
up_0,8,continuous_bias,-0.6706397122860145,-0.3933761343436545,-0.6706397122860144,-0.3933761343436545,41,1.6061617806668631e-06,0.01094507097483101
up_0,9,continuous_bias,-0.6851302009816305,-0.4180389397320004,-0.6851302009816306,-0.4180389397320004,41,7.753215738128807e-07,0.006532845718368872
up_0,10,continuous_bias,-0.6891992633186607,-0.4052424634063998,-0.6891992633186603,-0.4052424634063998,41,6.272152540280528e-07,0.008578700014184194
up_0,11,continuous_bias,-0.6936529300282026,-0.42209465161823184,-0.6936529300282028,-0.42209465161823184,41,4.953827845200462e-07,0.0059794349967092555
up_0,12,continuous_bias,-0.6983614815230019,-0.4307652983843498,-0.6983614815230018,-0.4307652983843498,41,3.842411781611628e-07,0.004930762612838744
